"source_id","source_topic","source_prompt","destination_deck","action","merge_group","rationale","evidence"
"122","Traits & Generics","Can a trait provide a default method implementation?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/traits/"
"123","Traits & Generics","How do you make a generic struct conditionally conform to a trait?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/traits/"
"124","Traits & Generics","What does Some[Trait] mean as an argument type?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/traits/"
"125","Compile-Time Metaprogramming","How does Mojo automatically infer compile-time parameters from argument types?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/comptime-evaluation/"
"126","Compile-Time Metaprogramming","What is the rebind builtin used for?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/comptime-evaluation/"
"127","Modules & Imports","What is __init__.mojo and how does it create a package?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","manual/packages — confirmed unchanged: `__init__.mojo` marks a package and may re-export."
"128","Modules & Imports","How do you alias a module or member name on import?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","manual/packages — confirmed unchanged: `as` still aliases on import."
"129","Modules & Imports","How do you import and use a compiled .mojopkg package?","Mojo 1.0 Libraries, Interop & Tools","Rewrite","","Replace .mojopkg workflow with .mojoc and mojo precompile.","TODO verify: https://mojolang.org/docs/manual/packages/"
"130","Python Interop","How are Mojo primitive types automatically converted to Python objects?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/python/"
"131","Python Interop","How do you create Python dicts and lists from Mojo?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/python/"
"132","Python Interop","How do Python-falsy values like None, False, 0, and """" behave in Mojo conditionals?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/python/"
"133","Tools & CLI","How do you run unit tests with the Mojo test runner?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/tools/"
"134","Tools & CLI","How do you use Mojo interactively without compiling a file?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/tools/"
"135","Functions","How do you pass arguments or parameters by name instead of position?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/functions/"
"136","Functions","How do you write a function that accepts either a mutable or immutable reference?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Use imm rather than read.","TODO verify: https://mojolang.org/docs/manual/functions/"
"137","Control Flow & Errors","What is the built-in Error type?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"138","Control Flow & Errors","How do you define a custom error type?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"139","Control Flow & Errors","What are the else and finally clauses in try/except?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"140","Control Flow & Errors","What is the difference between pass and ... in a function body?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"141","Value Ownership","What is an origin and how does the compiler track lifetimes?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/value-ownership/"
"142","Value Ownership","How do you bind a ref to a specific origin using ref [origin]?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/value-ownership/"
"143","Styles & Conventions","What are the naming conventions for structs, functions, modules, and variables in Mojo?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/reference/docstrings/"
"144","Standard Library","How do you create a collection of unique elements (a set)?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/std/"
"145","Standard Library","How do you sort a List in place?","Mojo 1.0 Libraries, Interop & Tools","Rewrite","","Replace ComparableCollectionElement with final comparison constraints.","TODO verify: https://mojolang.org/docs/std/"
"146","Standard Library","How do you run loop iterations across multiple CPU cores?","Mojo 1.0 Libraries, Interop & Tools","Rewrite","","Replace @parameter closure with final capture-list closure.","TODO verify: https://mojolang.org/docs/std/"
"147","Standard Library","What is Span and when do you use it?","Mojo 1.0 Libraries, Interop & Tools","Rewrite","","Span moved to std.collections.span and gained address-space behavior.","TODO verify: https://mojolang.org/docs/std/"
"148","Standard Library","How do you create a fixed-size, stack-allocated array?","Mojo 1.0 Libraries, Interop & Tools","Rewrite","","InlineArray was renamed Array; list expressions also default to Array.","TODO verify: https://mojolang.org/docs/std/"
"149","Standard Library","How do you query system info like CPU core count or the current OS?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/std/"
"150","Standard Library","How do you pause execution for a specified duration?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/std/"
"151","Standard Library","How do you terminate a program immediately with an error message?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/std/"
"152","Standard Library","What trait must a type implement to be used as a Dict key or Set element?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/std/"
"153","Standard Library","What math functions are available beyond sqrt and max?","Mojo 1.0 Libraries, Interop & Tools","Merge","math-surface","Merge with card 47 into one curated math-surface card.","TODO verify: https://mojolang.org/docs/std/"
"154","Value Lifecycle","What are all the struct lifecycle special methods?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Refresh the complete lifecycle set around __deinit__ and final initializer names.","TODO verify: https://mojolang.org/docs/manual/value-lifecycle/"
"155","Structs","What does Self() do inside a struct method?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","manual/structs — confirmed unchanged: `Self()` invokes the enclosing type initializer."
"156","Pointers","What states can an UnsafePointer and its pointee be in?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Reframe states around unified Pointer and Allocation.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"157","Pointers","How do you initialize a pointee in allocated memory?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Use unsafe_write and Allocation-backed memory.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"158","Pointers","How do you create an UnsafePointer to an existing value?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Use Pointer(to=) and final origin inference.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"159","Pointers","How do you dereference and index an UnsafePointer?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Use [] only for initialized pointees and unsafe_offset for unchecked offsets.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"160","Pointers","How do you do scalar load/store through an UnsafePointer?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Rename scalar load/store operations to unsafe_*.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"161","Pointers","How do you load or store a SIMD vector through an UnsafePointer?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Rename SIMD load/store operations to unsafe_*.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"162","Pointers","How do you load or store SIMD values at a regular stride?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Rename strided operations to unsafe_* and preserve safety contracts.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"163","Pointers","How do you read or write SIMD values at arbitrary offsets?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Rename gather/scatter operations to unsafe_* and preserve safety contracts.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"164","Pointers","How do you safely expose an UnsafePointer from a struct field?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Struct fields must carry concrete origins; UnsafeAnyOrigin cannot be hidden.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"165","Pointers","How do you work with opaque/void pointers and raw addresses for FFI?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Use final Pointer/OpaquePointer/OptionalPointer FFI model.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"166","Pointers","What are the three safety risks of UnsafePointer?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Explain operation-level unsafety rather than an unsafe pointer type.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"167","Functions","How do you declare that a function uses the C calling convention?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/functions/"
"168","Functions","What is the `thin` function effect?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/functions/"
"169","Functions","How do you declare a closure that captures surrounding variables?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Expand final capture lists and connect them to lambdas.","TODO verify: https://mojolang.org/docs/manual/functions/"
"170","Compile-Time Metaprogramming","How does the compiler narrow generic types at compile time?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/comptime-evaluation/"
"171","Compile-Time Metaprogramming","How do you accept a heterogeneous variadic pack of types?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Remove legacy @parameter examples and use final variadic/closure syntax.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/comptime-evaluation/"
"172","Strings & Collections","How do you split or slice a String by visual characters?","Mojo 1.0 Fundamentals","Rewrite","","Refresh examples to StringSpan and final grapheme iteration.","TODO verify: https://mojolang.org/docs/manual/types/"
"173","Strings & Collections","How do you chain operations on an `Optional` without unwrapping it?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"174","Strings & Collections","How do you iterate a `List` mutably or consume it?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"175","Pointers","How do you create an `UnsafePointer` for lazy initialization?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Use Pointer.unsafe_dangling and separate initialization state.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"176","Value Lifecycle","How do you skip running a destructor on a value?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Use final forget_deinit/deinitialization terminology.","TODO verify: https://mojolang.org/docs/manual/value-lifecycle/"
"177","Standard Library","How do you perform atomic operations in Mojo?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/std/"
"178","Standard Library","How do you introspect a type at compile time?","Mojo 1.0 Advanced Language & Systems","Rewrite","","reflect[T] is an alias without parentheses; include reflect_fn.","TODO verify: https://mojolang.org/docs/std/"
"179","Tools & CLI","How do you mark an API as deprecated?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/tools/"
"180","Structs","How do you control the alignment of a struct?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"181","Styles & Conventions","What characterises Mojo 1.0?","","Omit","","Omit the non-atomic beta-era summary; concepts are tested separately.","TODO verify: https://mojolang.org/docs/reference/docstrings/"
